symbol,name_of_company, series,fno_stock, date_of_listing, paid_up_value, market_lot, isin_number, face_value
EFACTOR,E Factor Experiences Limited,sm,no,09-10-2023,10,1,INE0KFF01017,10
ARABIAN,Arabian Petroleum Limited,sm,no,09-10-2023,10,1,INE08NJ01024,10
VINYAS,Vinyas Innovative Technologies Limited,sm,no,06-10-2023,10,1,INE0OLS01010,10
INSPIRE,Inspire Films Limited,sm,no,05-10-2023,10,1,INE0NDX01019,10
NEWJAISA,Newjaisa Technologies Limited,sm,no,05-10-2023,5,1,INE0PW501021,5
MAL,Mangalam Alloys Limited,sm,no,04-10-2023,10,1,INE00C401011,10
DIGIKORE,Digikore Studios Limited,sm,no,04-10-2023,10,1,INE0QJ901011,10
SAAKSHI,Saakshi Medtech and Panels Limited,sm,no,03-10-2023,10,1,INE0PSK01027,10
MASTER,Master Components Limited,sm,no,29-09-2023,10,1,INE0OJM01017,10
HIGREEN,Hi-Green Carbon Limited,sm,no,28-09-2023,10,1,INE0PIC01017,10
MARCO,Marco Cables & Conductors Limited,sm,no,28-09-2023,10,1,INE0QP001012,10
CELLECOR,Cellecor Gadgets Limited,sm,no,28-09-2023,1,1,INE0OMO01025,1
KODYTECH,Kody Technolab Limited,st,no,27-09-2023,10,1,INE0Q7P01013,10
MADHUSUDAN,Madhusudan Masala Limited,sm,no,26-09-2023,10,1,INE0P6701019,10
KEL,Kundan Edifice Limited,sm,no,26-09-2023,10,1,INE0OWX01025,10
CHAVDA,Chavda Infra Limited,sm,no,25-09-2023,10,1,INE0PT101017,10
HOLMARC,Holmarc Opto-Mechatronics Limited,sm,no,25-09-2023,10,1,INE0LXA01019,10
UNIHEALTH,Unihealth Hospitals Limited,st,no,21-09-2023,10,1,INE0PRF01011,10
JIWANRAM,Jiwanram Sheoduttrai Industries Limited,sm,no,18-09-2023,10,1,INE0N5H01017,10
PRAMARA,Pramara Promotions Limited,sm,no,13-09-2023,10,1,INE0O7A01017,10
SAROJA,Saroja Pharma Industries India Limited,sm,no,13-09-2023,10,1,INE0PCL01011,10
BASILIC,Basilic Fly Studio Limited,sm,no,11-09-2023,10,1,INE0OCC01013,10
MONOPHARMA,Mono Pharmacare Limited,sm,no,07-09-2023,10,1,INE0OIP01012,10
CPS,C P S Shapers Limited,sm,no,07-09-2023,10,1,INE0QBU01012,10
SEL,Sungarner Energies Limited,st,no,31-08-2023,10,1,INE0O3O01017,10
CLSL,Crop Life Science Limited,sm,no,30-08-2023,10,1,INE00NH01017,10
SSFL,Srivari Spices And Foods Limited,sm,no,18-08-2023,10,1,INE0ON201012,10
SANGANI,Sangani Hospitals Limited,sm,no,17-08-2023,10,1,INE0OVI01010,10
YUDIZ,Yudiz Solutions Limited,st,no,17-08-2023,10,1,INE09FA01019,10
ORIANA,Oriana Power Limited,sm,no,11-08-2023,10,1,INE0OUT01019,10
VINSYS,Vinsys IT Services India Limited,sm,no,11-08-2023,10,1,INE0OSJ01014,10
ZEAL,Zeal Global Services Limited,sm,no,09-08-2023,10,1,INE0PPS01018,10
SHRITECH,Shri Techtex Limited,sm,no,04-08-2023,10,1,INE0OMF01015,10
YCCL,Yasons Chemex Care Limited,sm,no,03-08-2023,10,1,INE08S201019,10
SERVICE,Service Care Limited,st,no,26-07-2023,10,1,INE0P1Q01015,10
DRONE,Drone Destination Limited,sm,no,21-07-2023,10,1,INE0P7201019,10
SYNOPTICS,Synoptics Technologies Limited,sm,no,13-07-2023,10,1,INE0BTR01012,10
TRIDHYA,Tridhya Tech Limited,sm,no,13-07-2023,10,1,INE0LWY01029,10
GLOBALPET,Global Pet Industries Limited,sm,no,10-07-2023,10,1,INE0PS501019,10
PENTAGON,Pentagon Rubber Limited,sm,no,07-07-2023,10,1,INE0ORS01017,10
MAGSON,Magson Retail And Distribution Limited,sm,no,06-07-2023,10,1,INE0O1S01012,10
ESFL,Essen Speciality Films Limited,st,no,06-07-2023,10,1,INE0ITO01014,10
GREENCHEF,Greenchef Appliances Limited,sm,no,06-07-2023,10,1,INE0O7P01015,10
AATMAJ,Aatmaj Healthcare Limited,sm,no,30-06-2023,5,1,INE0OB201016,5
VILINBIO,Vilin Bio Med Limited,st,no,30-06-2023,10,1,INE0L4V01013,10
CELLPOINT,Cell Point (India) Limited,sm,no,28-06-2023,10,1,INE0O0001013,10
URBAN,Urban Enviro Waste Management Limited,sm,no,22-06-2023,10,1,INE0O0201019,10
SPECTSTM,Spectrum Talent Management Limited,sm,no,22-06-2023,10,1,INE0OL001018,10
KDL,Kore Digital Limited,st,no,14-06-2023,10,1,INE0O4R01018,10
SAHANA,Sahana System Limited,sm,no,12-06-2023,10,1,INE0LEX01011,10
INFOLLION,Infollion Research Services Limited,sm,no,08-06-2023,10,1,INE0NNZ01013,10
PROV,Proventus Agrocom Limited,sm,no,05-06-2023,10,1,INE0ONE01016,10
CRAYONS,Crayons Advertising Limited,sm,no,02-06-2023,10,1,INE0OFK01019,10
DENTALKART,Vasa Denticity Limited,sm,no,02-06-2023,10,1,INE0N5801013,10
REMUS,Remus Pharmaceuticals Limited,sm,no,29-05-2023,10,1,INE0O5T01011,10
KRISHCA,Krishca Strapping Solutions Limited,sm,no,26-05-2023,10,1,INE0NR701018,10
AUROIMPEX,Auro Impex  & Chemicals Limited,sm,no,23-05-2023,10,1,INE0NUL01018,10
DENEERS,De Neers Tools Limited,st,no,11-05-2023,10,1,INE0JWV01011,10
QUICKTOUCH,Quicktouch Technologies Limited,sm,no,02-05-2023,10,1,INE0K4D01020,10
AGUL,A G Universal Limited,sm,no,24-04-2023,10,1,INE0O6N01012,10
PATTECH,Pattech Fitwell Tube Components Limited,sm,no,21-04-2023,10,1,INE0NZW01014,10
MOS,Mos Utility Limited,sm,no,18-04-2023,2,1,INE0N7S01028,2
INFINIUM,Infinium Pharmachem Limited,sm,no,17-04-2023,10,1,INE0MRE01011,10
SOTAC,Sotac Pharmaceuticals Limited,sm,no,13-04-2023,10,1,INE0O2D01012,10
NIRMAN,Nirman Agri Genetics Limited,st,no,28-03-2023,10,1,INE0OK701014,10
QFIL,Quality Foils (India) Limited,sm,no,24-03-2023,10,1,INE0O1M01015,10
VELS,Vels Film International Limited,sm,no,22-03-2023,10,1,INE0I3H01019,10
MCON,Mcon Rasayan India Limited,sm,no,20-03-2023,10,1,INE0O4M01019,10
VERTEXPLUS,Vertexplus Technologies Limited,sm,no,15-03-2023,10,1,INE0NLB01018,10
SYSTANGO,Systango Technologies Limited,sm,no,15-03-2023,10,1,INE0O7R01011,10
SRIVASAVI,Srivasavi Adhesive Tapes Limited,sm,no,09-03-2023,10,1,INE0NPI01014,10
VIAZ,Viaz Tyres Limited,sm,no,01-03-2023,10,1,INE0MO401019,10
AGARWALFT,Agarwal Float Glass India Limited,sm,no,23-02-2023,10,1,INE0MLA01012,10
LRRPL,Lead Reclaim And Rubber Products Limited,sm,no,21-02-2023,10,1,INE0H4B01011,10
SHERA,Shera Energy Limited,sm,no,17-02-2023,10,1,INE0MM001019,10
GRCL,Gayatri Rubbers And Chemicals Limited,sm,no,07-02-2023,10,1,INE0LVM01018,10
ARISTO,Aristo Bio-Tech And Lifescience Limited,sm,no,30-01-2023,10,1,INE082101010,10
DUCOL,Ducol Organics And Colours Limited,sm,no,19-01-2023,10,1,INE0LZO01015,10
CMNL,Chaman Metallics Limited,sm,no,16-01-2023,10,1,INE06PV01010,10
ANLON,Anlon Technology Solutions Limited,sm,no,10-01-2023,10,1,INE0LR101013,10
RBMINFRA,Rbm Infracon Limited,sm,no,04-01-2023,10,1,INE0NA301016,10
HOMESFY,Homesfy Realty Limited,sm,no,02-01-2023,10,1,INE0N7F01017,10
MOXSH,Moxsh Overseas Educon Limited,st,no,30-12-2022,10,1,INE0N6D01014,10
UMA,Uma Converter Limited,sm,no,29-12-2022,10,1,INE067901012,10
ARIHANTACA,Arihant Academy Limited,sm,no,29-12-2022,10,1,INE0NCC01015,10
DOLLEX,Dollex Agrotech Limited,sm,no,28-12-2022,10,1,INE0JHH01011,10
ALLETEC,All E Technologies Limited,sm,no,21-12-2022,10,1,INE0M2X01012,10
ARHAM,Arham Technologies Limited,sm,no,15-12-2022,10,1,INE0L2Y01011,10
PRITIKA,Pritika Engineering Components Limited,sm,no,08-12-2022,5,1,INE0MJQ01020,5
BAHETI,Baheti Recycling Industries Limited,sm,no,08-12-2022,10,1,INE029Q01017,10
AMIABLE,Amiable Logistics (India) Limited,sm,no,16-11-2022,10,1,INE0MTP01013,10
IPSL,Integrated Personnel Services Limited,sm,no,11-11-2022,10,1,INE02EE01019,10
RITEZONE,Rite Zone Chemcon India Limited,sm,no,11-11-2022,10,1,INE0MRA01019,10
PHANTOMFX,Phantom Digital Effects Limited,sm,no,21-10-2022,10,1,INE0MLZ01019,10
FROG,Frog Innovations Limited,sm,no,13-10-2022,10,1,INE385O01018,10
SWASTIK,Swastik Pipe Limited,sm,no,12-10-2022,10,1,INE0DGC01025,10
LLOYDS,Lloyds Luxuries Limited,st,no,11-10-2022,10,1,INE0DTQ01028,10
QMSMEDI,QMS Medical Allied Services Limited,sm,no,11-10-2022,10,1,INE0FMW01018,10
CMRSL,Cyber Media Research & Services Limited,sm,no,10-10-2022,10,1,INE075Z01011,10
KANDARP,Kandarp Digi Smart BPO Limited,sm,no,28-09-2022,10,1,INE0MOT01016,10
MAKS,Maks Energy Solutions India Limited,sm,no,28-09-2022,10,1,INE0CDK01019,10
ANNAPURNA,Annapurna Swadisht Limited,sm,no,27-09-2022,10,1,INE0MGM01017,10
TAPIFRUIT,Tapi Fruit Processing Limited,sm,no,22-09-2022,10,1,INE0M7001010,10
ISHAN,Ishan International Limited,sm,no,22-09-2022,1,1,INE0LCW01025,1
SABAR,Sabar Flex India Limited,st,no,21-09-2022,10,1,INE0DZ101013,10
MEGAFLEX,Mega Flex Plastics Limited,st,no,19-09-2022,10,1,INE0G1D01014,10
VIVIANA,Viviana Power Tech Limited,sm,no,16-09-2022,10,1,INE0MEG01014,10
KORE,Jay Jalaram Technologies Limited,sm,no,08-09-2022,10,1,INE0J6801010,10
