symbol,name_of_company, series,fno_stock, date_of_listing, paid_up_value, market_lot, isin_number, face_value
20MICRONS,20 Microns Limited,eq,no,06-10-2008,5,1,INE144J01027,5
21STCENMGM,21st Century Management Services Limited,eq,no,03-05-1995,10,1,INE253B01015,10
360ONE,360 ONE WAM LIMITED,eq,yes,19-09-2019,1,1,INE466L01038,1
3IINFOLTD,3i Infotech Limited,eq,no,22-10-2021,10,1,INE748C01038,10
3MINDIA,3M India Limited,eq,no,13-08-2004,10,1,INE470A01017,10
3PLAND,3P Land Holdings Limited,eq,no,19-07-1995,2,1,INE105C01023,2
5PAISA,5Paisa Capital Limited,eq,no,16-11-2017,10,1,INE618L01018,10
63MOONS,63 moons technologies limited,eq,no,20-06-2005,2,1,INE111B01023,2
A2ZINFRA,A2Z Infra Engineering Limited,be,no,23-12-2010,10,1,INE619I01012,10
AAATECH,AAA Technologies Limited,eq,no,28-11-2022,10,1,INE0D0U01013,10
AADHARHFC,Aadhar Housing Finance Limited,eq,no,15-05-2024,10,1,INE883F01010,10
AAKASH,Aakash Exploration Services Limited,be,no,29-09-2020,1,1,INE087Z01024,1
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,eq,no,06-08-2021,10,1,INE198H01019,10
AARNAV,Aarnav Fashions Limited,eq,no,25-02-2026,10,1,INE750R01016,10
AARON,Aaron Industries Limited,eq,no,06-11-2020,10,1,INE721Z01010,10
AARTECH,Aartech Solonics Limited,eq,no,10-07-2023,5,1,INE01C001026,5
AARTIDRUGS,Aarti Drugs Limited,eq,no,19-09-2003,10,1,INE767A01016,10
AARTIIND,Aarti Industries Limited,eq,no,08-02-1995,5,1,INE769A01020,5
AARTIPHARM,Aarti Pharmalabs Limited,eq,no,30-01-2023,5,1,INE0LRU01027,5
AARTISURF,Aarti Surfactants Limited,eq,no,14-07-2020,10,1,INE09EO01013,10
AARVI,Aarvi Encon Limited,eq,no,24-06-2020,10,1,INE754X01016,10
AAVAS,Aavas Financiers Limited,eq,no,08-10-2018,10,1,INE216P01012,10
ABB,ABB India Limited,eq,yes,08-02-1995,2,1,INE117A01022,2
ABBOTINDIA,Abbott India Limited,eq,no,08-01-2010,10,1,INE358A01014,10
ABCAPITAL,Aditya Birla Capital Limited,eq,yes,01-09-2017,10,1,INE674K01013,10
ABCOTS,A B Cotspin India Limited,eq,no,24-09-2025,10,1,INE08PH01015,10
ABDL,Allied Blenders and Distillers Limited,eq,no,02-07-2024,2,1,INE552Z01027,2
ABFRL,Aditya Birla Fashion and Retail Limited,eq,no,17-07-2013,10,1,INE647O01011,10
ABINFRA,A B Infrabuild Limited,eq,no,08-11-2024,1,1,INE00YB01025,1
ABLBL,Aditya Birla Lifestyle Brands Limited,eq,no,23-06-2025,10,1,INE14LE01019,10
ABMINTLLTD,ABM International Limited,be,no,09-09-2021,10,1,INE251C01025,10
ABREL,Aditya Birla Real Estate Limited,eq,no,27-06-2003,10,1,INE055A01016,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,eq,no,11-10-2021,5,1,INE404A01024,5
ACC,ACC Limited,eq,no,20-11-1996,10,1,INE012A01025,10
ACCELYA,Accelya Solutions India Limited,eq,no,01-12-1999,10,1,INE793A01012,10
ACCURACY,Accuracy Shipping Limited,eq,no,11-12-2020,1,1,INE648Z01023,1
ACE,Action Construction Equipment Limited,eq,no,26-09-2006,2,1,INE731H01025,2
ACEINTEG,Ace Integrated Solutions Limited,eq,no,04-11-2022,10,1,INE543V01017,10
ACI,Archean Chemical Industries Limited,eq,no,21-11-2022,2,1,INE128X01021,2
ACL,Andhra Cements Limited,eq,no,10-05-2023,10,1,INE666E01020,10
ACMESOLAR,Acme Solar Holdings Limited,eq,no,13-11-2024,2,1,INE622W01025,2
ACUTAAS,Acutaas Chemicals Limited,eq,no,14-09-2021,5,1,INE00FF01025,5
ADANIENSOL,Adani Energy Solutions Limited,eq,yes,31-07-2015,10,1,INE931S01010,10
ADANIENT,Adani Enterprises Limited,eq,yes,04-06-1997,1,1,INE423A01024,1
ADANIGREEN,Adani Green Energy Limited,eq,yes,18-06-2018,10,1,INE364U01010,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,eq,yes,27-11-2007,2,1,INE742F01042,2
ADANIPOWER,Adani Power Limited,eq,no,20-08-2009,2,1,INE814H01029,2
ADFFOODS,ADF Foods Limited,eq,no,15-09-2010,2,1,INE982B01027,2
ADL,Archidply Decor Limited,eq,no,01-10-2020,10,1,INE0CHO01012,10
ADOR,Ador Welding Limited,eq,no,10-05-1995,10,1,INE045A01017,10
ADROITINFO,Adroit Infotech Limited,eq,no,13-08-1997,10,1,INE737B01033,10
ADSL,Allied Digital Services Limited,eq,no,25-07-2007,5,1,INE102I01027,5
ADVAIT,Advait Energy Transitions Limited,eq,no,20-01-2026,10,1,INE0ALI01010,10
ADVANCE,Advance Agrolife Limited,eq,no,08-10-2025,10,1,INE1B0W01010,10
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,eq,no,25-06-2007,2,1,INE199C01026,2
ADVENTHTL,Advent Hotels International Limited,eq,no,13-11-2025,10,1,INE28GN01010,10
ADVENZYMES,Advanced Enzyme Technologies Limited,eq,no,01-08-2016,2,1,INE837H01020,2
AEGISLOG,Aegis Logistics Limited,eq,no,03-04-1996,1,1,INE208C01025,1
AEGISVOPAK,Aegis Vopak Terminals Limited,eq,no,02-06-2025,10,1,INE0INX01018,10
AEPL,Artemis Electricals and Projects Limited,eq,no,12-03-2026,1,1,INE757T01025,1
AEQUS,Aequs Limited,eq,no,10-12-2025,10,1,INE947N01017,10
AEROENTER,Aeroflex Enterprises Limited,eq,no,21-11-2022,2,1,INE065D01027,2
AEROFLEX,Aeroflex Industries Limited,eq,no,31-08-2023,2,1,INE024001021,2
AERONEU,Aeroflex Neu Limited,eq,no,12-01-2023,10,1,INE035801013,10
AETHER,Aether Industries Limited,eq,no,03-06-2022,10,1,INE0BWX01014,10
AFCONS,Afcons Infrastructure Limited,eq,no,04-11-2024,10,1,INE101I01011,10
AFFLE,Affle 3i Limited,eq,no,08-08-2019,2,1,INE00WC01027,2
AFFORDABLE,Affordable Robotic & Automation Limited,eq,no,23-10-2024,10,1,INE692Z01013,10
AFIL,Akme Fintrade (India) Limited,be,no,26-06-2024,1,1,INE916Y01027,1
AFSL,Abans Financial Services Limited,eq,no,23-12-2022,2,1,INE00ZE01026,2
AGARIND,Agarwal Industrial Corporation Limited,eq,no,26-05-2014,10,1,INE204E01012,10
AGARWALEYE,Dr. Agarwal's Health Care Limited,eq,no,04-02-2025,1,1,INE943P01029,1
AGI,AGI Greenpac Limited,eq,no,31-05-2000,2,1,INE415A01038,2
AGIIL,Agi Infra Limited,eq,no,15-07-2024,1,1,INE976R01033,1
AGRITECH,Agri-Tech (India) Limited,eq,no,28-01-2014,10,1,INE449G01018,10
AGROPHOS,Agro Phos India Limited,eq,no,08-03-2019,10,1,INE740V01019,10
AHCL,Anlon Healthcare Limited,eq,no,03-09-2025,10,1,INE0Y8W01017,10
AHLADA,Ahlada Engineers Limited,eq,no,28-01-2021,10,1,INE00PV01013,10
AHLEAST,Asian Hotels (East) Limited,eq,no,11-08-2010,10,1,INE926K01017,10
AHLUCONT,Ahluwalia Contracts (India) Limited,eq,no,14-12-2009,2,1,INE758C01029,2
AHLWEST,Asian Hotels (West) Limited,eq,no,05-08-2010,10,1,INE915K01010,10
AIAENG,AIA Engineering Limited,eq,no,14-12-2005,2,1,INE212H01026,2
AIIL,Authum Investment & Infrastructure Limited,eq,no,23-04-2024,1,1,INE206F01022,1
AIRAN,Airan Limited,eq,no,03-05-2019,2,1,INE645W01026,2
AIROLAM,Airo Lam limited,eq,no,13-10-2021,10,1,INE801L01010,10
AJANTPHARM,Ajanta Pharma Limited,eq,no,29-05-2000,2,1,INE031B01049,2
AJAXENGG,Ajax Engineering Limited,eq,no,17-02-2025,1,1,INE274Y01021,1
AJMERA,Ajmera Realty & Infra India Limited,eq,no,16-06-2009,2,1,INE298G01035,2
AJOONI,Ajooni Biotech Limited,eq,no,07-05-2021,2,1,INE820Y01021,2
AKASH,Akash Infra-Projects Limited,eq,no,11-10-2019,10,1,INE737W01013,10
AKG,Akg Exim Limited,eq,no,16-02-2021,10,1,INE00Y801016,10
AKI,AKI India Limited,eq,no,06-04-2023,2,1,INE642Z01026,2
AKSHAR,Akshar Spintex Limited,eq,no,23-05-2022,1,1,INE256Z01025,1
AKSHARCHEM,AksharChem India Limited,eq,no,28-03-2017,10,1,INE542B01011,10
AKSHOPTFBR,Aksh Optifibre Limited,eq,no,18-08-2000,5,1,INE523B01011,5
AKUMS,Akums Drugs and Pharmaceuticals Limited,eq,no,06-08-2024,2,1,INE09XN01023,2
ALANKIT,Alankit Limited,eq,no,30-06-2015,1,1,INE914E01040,1
ALBERTDAVD,Albert David Limited,eq,no,14-06-2016,10,1,INE155C01010,10
ALEMBICLTD,Alembic Limited,eq,no,22-09-1999,2,1,INE426A01027,2
ALGOQUANT,Algoquant Fintech Limited,eq,no,06-01-2026,1,1,INE598D01035,1
ALICON,Alicon Castalloy Limited,eq,no,29-09-2006,5,1,INE062D01024,5
ALIVUS,Alivus Life Sciences Limited,eq,no,06-08-2021,2,1,INE03Q201024,2
ALKALI,Alkali Metals Limited,eq,no,06-11-2008,10,1,INE773I01017,10
ALKEM,Alkem Laboratories Limited,eq,yes,23-12-2015,2,1,INE540L01014,2
ALKYLAMINE,Alkyl Amines Chemicals Limited,eq,no,26-11-2007,2,1,INE150B01039,2
ALLCARGO,Allcargo Logistics Limited,eq,no,23-06-2006,2,1,INE418H01029,2
ALLDIGI,Alldigi Tech Limited,eq,no,09-05-2005,10,1,INE835G01018,10
ALLTIME,All Time Plastics Limited,eq,no,14-08-2025,2,1,INE0GV601021,2
ALMONDZ,Almondz Global Securities Limited,eq,no,16-06-2008,1,1,INE326B01035,1
ALOKINDS,Alok Industries Limited,eq,no,19-02-2020,1,1,INE270A01029,1
ALPA,Alpa Laboratories Limited,eq,no,06-08-2007,10,1,INE385I01010,10
ALPHAGEO,Alphageo (India) Limited,eq,no,11-05-2007,10,1,INE137C01018,10
AMAGI,Amagi Media Labs Limited,eq,no,21-01-2026,5,1,INE121R01077,5
AMANTA,Amanta Healthcare Limited,eq,no,09-09-2025,10,1,INE084K01015,10
AMBER,Amber Enterprises India Limited,eq,yes,30-01-2018,10,1,INE371P01015,10
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,eq,no,29-06-2004,10,1,INE792B01012,10
AMBIKCO,Ambika Cotton Mills Limited,eq,no,29-01-2008,10,1,INE540G01014,10
AMBUJACEM,Ambuja Cements Limited,eq,yes,18-02-1998,2,1,INE079A01024,2
AMDIND,AMD Industries Limited,eq,no,19-03-2007,10,1,INE005I01014,10
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,eq,no,02-04-2026,10,1,INE05TO01019,10
AMJLAND,Amj Land Holdings Limited,eq,no,08-02-1995,2,1,INE606A01024,2
AMNPLST,Amines & Plasticizers Limited,eq,no,10-11-2023,2,1,INE275D01022,2
AMRUTANJAN,Amrutanjan Health Care Limited,eq,no,02-01-2015,1,1,INE098F01031,1
ANANDRATHI,Anand Rathi Wealth Limited,eq,no,14-12-2021,5,1,INE463V01026,5
ANANTRAJ,Anant Raj Limited,eq,no,27-09-2006,2,1,INE242C01024,2
ANDHRAPAP,ANDHRA PAPER LIMITED,eq,no,13-05-2004,2,1,INE435A01051,2
ANDHRSUGAR,The Andhra Sugars Limited,eq,no,01-11-1995,2,1,INE715B01021,2
ANGELONE,Angel One Limited,eq,yes,05-10-2020,1,1,INE732I01021,1
ANIKINDS,Anik Industries Limited,eq,no,21-05-2008,10,1,INE087B01017,10
ANKITMETAL,Ankit Metal & Power Limited,bz,no,14-03-2013,10,1,INE106I01010,10
ANMOL,Anmol India Limited,eq,no,04-06-2021,10,1,INE02AR01019,10
ANSALAPI,Ansal Properties & Infrastructure Limited,bz,no,27-01-2006,5,1,INE436A01026,5
ANTELOPUS,Antelopus Selan Energy Limited,eq,no,26-09-2006,10,1,INE818A01017,10
ANTGRAPHIC,Antarctica Limited,eq,no,31-12-1997,1,1,INE414B01021,1
ANTHEM,Anthem Biosciences Limited,eq,no,21-07-2025,2,1,INE0CZ201020,2
ANUHPHR,Anuh Pharma Limited,eq,no,20-12-2024,5,1,INE489G01022,5
ANUP,The Anup Engineering Limited,eq,no,01-03-2019,10,1,INE294Z01018,10
ANURAS,Anupam Rasayan India Limited,eq,no,24-03-2021,10,1,INE930P01018,10
APARINDS,Apar Industries Limited,eq,no,12-07-2004,10,1,INE372A01015,10
APCL,Anjani Portland Cement Limited,eq,no,10-04-2017,10,1,INE071F01012,10
APCOTEXIND,Apcotex Industries Limited,eq,no,06-09-1995,2,1,INE116A01032,2
APEX,Apex Frozen Foods Limited,eq,no,04-09-2017,10,1,INE346W01013,10
APLAPOLLO,APL Apollo Tubes Limited,eq,yes,14-12-2011,2,1,INE702C01027,2
APLLTD,Alembic Pharmaceuticals Limited,eq,no,20-09-2011,2,1,INE901L01018,2
APOLLO,Apollo Micro Systems Limited,eq,no,22-01-2018,1,1,INE713T01028,1
APOLLOHOSP,Apollo Hospitals Enterprise Limited,eq,yes,10-01-1996,5,1,INE437A01024,5
APOLLOPIPE,Apollo Pipes Limited,eq,no,11-11-2019,10,1,INE126J01016,10
APOLLOTYRE,Apollo Tyres Limited,eq,no,31-05-1995,1,1,INE438A01022,1
APOLSINHOT,Apollo Sindoori Hotels Limited,eq,no,28-01-2015,5,1,INE451F01024,5
APTECHT,Aptech Limited,eq,no,27-09-2002,10,1,INE266F01018,10
APTUS,Aptus Value Housing Finance India Limited,eq,no,24-08-2021,2,1,INE852O01025,2
AQYLON,Aqylon Nexus Limited,eq,no,01-04-2024,1,1,INE416A01051,1
ARCHIDPLY,Archidply Industries Limited,eq,no,04-07-2008,10,1,INE877I01016,10
ARCHIES,Archies Limited,eq,no,02-09-1998,2,1,INE731A01020,2
ARE&M,Amara Raja Energy & Mobility Limited,eq,no,05-09-2003,1,1,INE885A01032,1
ARENTERP,Rajdarshan Industries Limited,eq,no,18-10-1995,10,1,INE610C01014,10
ARFIN,Arfin India Limited,eq,no,22-07-2025,1,1,INE784R01023,1
ARIES,Aries Agro Limited,eq,no,11-01-2008,10,1,INE298I01015,10
ARIHANTCAP,Arihant Capital Markets Limited,eq,no,15-06-2021,1,1,INE420B01036,1
ARIHANTSUP,Arihant Superstructures Limited,eq,no,28-03-2017,10,1,INE643K01018,10
ARIS,Arisinfra Solutions Limited,eq,no,25-06-2025,2,1,INE0H9P01028,2
ARKADE,Arkade Developers Limited,eq,no,24-09-2024,10,1,INE0QRL01017,10
ARMANFIN,Arman Financial Services Limited,eq,no,14-06-2016,10,1,INE109C01017,10
AROGRANITE,Aro Granite Industries Limited,eq,no,24-04-2007,10,1,INE210C01013,10
ARROWGREEN,Arrow Greentech Limited,eq,no,21-05-2015,10,1,INE570D01018,10
ARSHIYA,Arshiya Limited,bz,no,14-12-2009,2,1,INE968D01022,2
ARSSBL,Anand Rathi Share and Stock Brokers Limited,eq,no,30-09-2025,5,1,INE549H01021,5
ARTEMISMED,Artemis Medicare Services Limited,eq,no,23-01-2020,1,1,INE025R01021,1
ARTNIRMAN,Art Nirman Limited,eq,no,18-10-2021,10,1,INE738V01013,10
ARVEE,Arvee Laboratories (India) Limited,eq,no,22-03-2021,10,1,INE006Z01016,10
ARVIND,Arvind Limited,eq,no,08-02-1995,10,1,INE034A01011,10
ARVINDFASN,Arvind Fashions Limited,eq,no,08-03-2019,4,1,INE955V01021,4
ARVSMART,Arvind SmartSpaces Limited,eq,no,26-08-2015,10,1,INE034S01021,10
ASAHIINDIA,Asahi India Glass Limited,eq,no,18-03-1998,1,1,INE439A01020,1
ASAHISONG,Asahi Songwon Colors Limited,eq,no,29-08-2011,10,1,INE228I01012,10
ASAL,Automotive Stampings and Assemblies Limited,eq,no,12-03-2002,10,1,INE900C01027,10
ASALCBR,Associated Alcohols & Breweries Ltd.,eq,no,12-02-2020,10,1,INE073G01016,10
ASHAPURMIN,Ashapura Minechem Limited,eq,no,20-09-1995,2,1,INE348A01023,2
ASHIANA,Ashiana Housing Limited,eq,no,29-06-2011,2,1,INE365D01021,2
ASHIMASYN,Ashima Limited,eq,no,27-07-1995,10,1,INE440A01010,10
ASHOKA,Ashoka Buildcon Limited,eq,no,14-10-2010,5,1,INE442H01029,5
ASHOKAMET,Ashoka Metcast Limited,eq,no,27-06-2023,10,1,INE760Y01011,10
ASHOKLEY,Ashok Leyland Limited,eq,yes,25-05-1995,1,1,INE208A01029,1
ASIANENE,Asian Energy Services Limited,eq,no,09-12-2021,10,1,INE276G01015,10
ASIANHOTNR,Asian Hotels (North) Limited,eq,no,07-04-2010,10,1,INE363A01022,10
ASIANPAINT,Asian Paints Limited,eq,yes,31-05-1995,1,1,INE021A01026,1
ASIANTILES,Asian Granito India Limited,eq,no,23-08-2007,10,1,INE022I01019,10
ASKAUTOLTD,ASK Automotive Limited,eq,no,15-11-2023,2,1,INE491J01022,2
ASMS,Bartronics India Limited,eq,no,09-02-2023,1,1,INE855F01042,1
ASPINWALL,Aspinwall and Company Limited,eq,no,14-06-2016,10,1,INE991I01015,10
ASTEC,Astec LifeSciences Limited,eq,no,25-11-2009,10,1,INE563J01010,10
ASTERDM,Aster DM Healthcare Limited,eq,no,26-02-2018,10,1,INE914M01019,10
ASTRAL,Astral Limited,eq,yes,20-03-2007,1,1,INE006I01046,1
ASTRAMICRO,Astra Microwave Products Limited,eq,no,01-11-2004,2,1,INE386C01029,2
ASTRAZEN,AstraZeneca Pharma India Limited,eq,no,04-05-2001,2,1,INE203A01020,2
ASTRON,Astron Paper & Board Mill Limited,eq,no,29-12-2017,10,1,INE646X01014,10
ATALREAL,Atal Realtech Limited,eq,no,12-05-2023,2,1,INE0ALR01029,2
ATAM,Atam Valves Limited,eq,no,10-05-2023,10,1,INE09KD01013,10
ATGL,Adani Total Gas Limited,eq,no,05-11-2018,1,1,INE399L01023,1
ATHERENERG,Ather Energy Limited,eq,no,06-05-2025,1,1,INE0LEZ01016,1
ATL,Allcargo Terminals Limited,eq,no,10-08-2023,2,1,INE0NN701020,2
ATLANTAA,ATLANTAA LIMITED,eq,no,25-09-2006,2,1,INE285H01022,2
ATLANTAELE,Atlanta Electricals Limited,eq,no,29-09-2025,2,1,INE0Z4F01028,2
ATLASCYCLE,Atlas Cycles (Haryana) Limited,eq,no,23-10-1996,5,1,INE446A01025,5
ATUL,Atul Limited,eq,no,06-05-1998,10,1,INE100A01010,10
ATULAUTO,Atul Auto Limited,eq,no,26-06-2013,5,1,INE951D01028,5
AUBANK,AU Small Finance Bank Limited,eq,yes,10-07-2017,10,1,INE949L01017,10
AURIGROW,Auri Grow India Limited,eq,no,24-12-2020,1,1,INE925Y01036,1
AURIONPRO,Aurionpro Solutions Limited,eq,no,25-10-2005,10,1,INE132H01018,10
AUROPHARMA,Aurobindo Pharma Limited,eq,yes,19-07-2000,1,1,INE406A01037,1
AURUM,Aurum PropTech Limited,eq,no,19-08-2015,5,1,INE898S01029,5
AUSOMENT,Ausom Enterprise Limited,be,no,17-04-1996,10,1,INE218C01016,10
AUTOAXLES,Automotive Axles Limited,eq,no,29-05-2003,10,1,INE449A01011,10
AUTOIND,Autoline Industries Limited,eq,no,31-01-2007,10,1,INE718H01014,10
AVADHSUGAR,Avadh Sugar & Energy Limited,eq,no,28-07-2017,10,1,INE349W01017,10
AVALON,Avalon Technologies Limited,eq,no,18-04-2023,2,1,INE0LCL01028,2
AVANTEL,Avantel Limited,eq,no,31-07-2024,2,1,INE005B01027,2
AVANTIFEED,Avanti Feeds Limited,eq,no,15-04-2015,1,1,INE871C01038,1
AVG,AVG Logistics Limited,eq,no,12-05-2023,10,1,INE680Z01018,10
AVL,Aditya Vision Limited,eq,no,06-11-2024,1,1,INE679V01027,1
AVONMORE,Avonmore Capital & Management Services Limited,eq,no,04-01-2023,1,1,INE323B01024,1
AVROIND,AVRO INDIA LIMITED,eq,no,07-04-2022,10,1,INE652Z01017,10
AVTNPL,AVT Natural Products Limited,eq,no,10-01-2007,1,1,INE488D01021,1
AWFIS,Awfis Space Solutions Limited,eq,no,30-05-2024,10,1,INE108V01019,10
AWHCL,Antony Waste Handling Cell Limited,eq,no,01-01-2021,5,1,INE01BK01022,5
AWL,AWL Agri Business Limited,eq,no,08-02-2022,1,1,INE699H01024,1
AXISBANK,Axis Bank Limited,eq,yes,16-11-1998,2,1,INE238A01034,2
AXISCADES,AXISCADES Technologies Limited,eq,no,21-12-2000,5,1,INE555B01013,5
AXITA,Axita Cotton Limited,eq,no,21-06-2022,1,1,INE02EZ01022,1
AYE,Aye Finance Limited,eq,no,16-02-2026,2,1,INE501X01029,2
AYMSYNTEX,AYM Syntex Limited,eq,no,14-08-2015,10,1,INE193B01039,10
AZAD,Azad Engineering Limited,eq,no,28-12-2023,2,1,INE02IJ01035,2
BAFNAPH,Bafna Pharmaceuticals Limited,eq,no,27-02-2020,10,1,INE878I01022,10
BAGFILMS,B.A.G Films and Media Limited,eq,no,17-10-2003,2,1,INE116D01028,2
BAIDFIN,Baid Finserv Limited,eq,no,20-01-2023,2,1,INE020D01022,2
BAJAJ-AUTO,Bajaj Auto Limited,eq,yes,26-05-2008,10,1,INE917I01010,10
BAJAJCON,Bajaj Consumer Care Limited,eq,no,18-08-2010,1,1,INE933K01021,1
BAJAJELEC,Bajaj Electricals Limited,eq,no,02-11-2007,2,1,INE193E01025,2
BAJAJFINSV,Bajaj Finserv Limited,eq,yes,26-05-2008,1,1,INE918I01026,1
BAJAJHCARE,Bajaj Healthcare Limited,eq,no,25-11-2021,5,1,INE411U01027,5
BAJAJHFL,Bajaj Housing Finance Limited,eq,no,16-09-2024,10,1,INE377Y01014,10
BAJAJHIND,Bajaj Hindusthan Sugar Limited,eq,no,10-05-1995,1,1,INE306A01021,1
BAJAJHLDNG,Bajaj Holdings & Investment Limited,eq,yes,15-03-1995,10,1,INE118A01012,10
BAJAJINDEF,Indef Manufacturing Limited,eq,no,21-02-2025,1,1,INE0O9T01021,1
BAJEL,Bajel Projects Limited,eq,no,19-12-2023,2,1,INE0KQN01018,2
BAJFINANCE,Bajaj Finance Limited,eq,yes,01-04-2003,1,1,INE296A01032,1
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,eq,no,12-09-2024,10,1,INE0S2G01011,10
BALAJITELE,Balaji Telefilms Limited,eq,no,22-11-2000,2,1,INE794B01026,2
BALAMINES,Balaji Amines Limited,eq,no,05-04-2007,2,1,INE050E01027,2
BALAXI,BALAXI PHARMACEUTICALS LIMITED,eq,no,30-11-2015,2,1,INE618N01022,2
BALKRISHNA,Balkrishna Paper Mills Limited,eq,no,28-07-2015,10,1,INE875R01011,10
BALKRISIND,Balkrishna Industries Limited,eq,no,27-01-2006,2,1,INE787D01026,2
BALMLAWRIE,Balmer Lawrie & Company Limited,eq,no,06-07-1995,10,1,INE164A01016,10
BALPHARMA,Bal Pharma Limited,eq,no,08-05-2006,10,1,INE083D01012,10
BALRAMCHIN,Balrampur Chini Mills Limited,eq,no,08-02-1995,1,1,INE119A01028,1
BALUFORGE,Balu Forge Industries Limited,eq,no,29-04-2024,10,1,INE011E01029,10
BANARBEADS,Banaras Beads Limited,eq,no,07-07-1995,10,1,INE655B01011,10
BANARISUG,Bannari Amman Sugars Limited,eq,no,28-05-2003,10,1,INE459A01010,10
BANCOINDIA,Banco Products (I) Limited,eq,no,22-12-2006,2,1,INE213C01025,2
BANDHANBNK,Bandhan Bank Limited,eq,yes,27-03-2018,10,1,INE545U01014,10
BANG,Bang Overseas Limited,eq,no,20-02-2008,10,1,INE863I01016,10
BANKA,Banka BioLoo Limited,eq,no,29-10-2020,10,1,INE862Y01015,10
BANKBARODA,Bank of Baroda,eq,yes,19-02-1997,2,1,INE028A01039,2
BANKINDIA,Bank of India,eq,yes,30-04-1997,10,1,INE084A01016,10
BANSALWIRE,Bansal Wire Industries Limited,eq,no,10-07-2024,5,1,INE0B9K01025,5
BANSWRAS,Banswara Syntex Limited,eq,no,11-04-2007,5,1,INE629D01020,5
BASF,BASF India Limited,eq,no,17-05-1995,10,1,INE373A01013,10
BASML,Bannari Amman Spinning Mills Limited,eq,no,14-11-2005,5,1,INE186H01022,5
BATAINDIA,Bata India Limited,eq,no,18-06-2003,5,1,INE176A01028,5
BAYERCROP,Bayer Cropscience Limited,eq,no,08-01-2010,10,1,INE462A01022,10
BBL,Bharat Bijlee Limited,eq,no,21-11-2006,5,1,INE464A01036,5
BBOX,Black Box Limited,eq,no,22-07-2003,2,1,INE676A01027,2
BBTC,The Bombay Burmah Trading Corporation Limited,eq,no,03-04-1996,2,1,INE050A01025,2
BBTCL,B&B Triplewall Containers Limited,eq,no,23-11-2022,10,1,INE01EE01011,10
BCG,Brightcom Group Limited,be,no,08-05-2015,2,1,INE425B01027,2
BCLIND,Bcl Industries Limited,eq,no,04-03-2021,1,1,INE412G01024,1
BCONCEPTS,Brand Concepts Limited,eq,no,11-01-2022,10,1,INE977Y01011,10
BCPL,BCPL Railway Infrastructure Limited,eq,no,27-03-2026,10,1,INE00SW01015,10
BDL,Bharat Dynamics Limited,eq,yes,23-03-2018,5,1,INE171Z01026,5
BEARDSELL,Beardsell Limited,eq,no,13-01-2015,2,1,INE520H01022,2
BECTORFOOD,Mrs. Bectors Food Specialities Limited,eq,no,24-12-2020,2,1,INE495P01020,2
BEDMUTHA,Bedmutha Industries Limited,be,no,14-10-2010,10,1,INE844K01012,10
BEL,Bharat Electronics Limited,eq,yes,19-07-2000,1,1,INE263A01024,1
BELLACASA,Bella Casa Fashion & Retail Limited,eq,no,18-07-2025,10,1,INE344T01014,10
BELRISE,Belrise Industries Limited,eq,no,28-05-2025,5,1,INE894V01022,5
BEML,BEML Limited,eq,no,05-11-2003,5,1,INE258A01024,5
BEPL,Bhansali Engineering Polymers Limited,eq,no,21-03-2005,1,1,INE922A01025,1
BERGEPAINT,Berger Paints (I) Limited,eq,no,24-11-1999,1,1,INE463A01038,1
BESTAGRO,Best Agrolife Limited,be,no,10-04-2024,1,1,INE052T01021,1
BETA,Beta Drugs Limited,eq,no,24-11-2025,10,1,INE351Y01019,10
BFINVEST,BF Investment Limited,eq,no,14-01-2011,5,1,INE878K01010,5
BFUTILITIE,BF Utilities Limited,bz,no,03-05-2007,5,1,INE243D01012,5
BGRENERGY,BGR Energy Systems Limited,be,no,03-01-2008,10,1,INE661I01014,10
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,eq,no,18-10-2021,1,1,INE414D01027,1
BHAGERIA,Bhageria Industries Limited,eq,no,02-03-2016,5,1,INE354C01027,5
BHAGYANGR,Bhagyanagar India Limited,eq,no,17-05-2017,2,1,INE458B01036,2
BHANDARI,Bhandari Hosiery Exports Limited,eq,no,30-01-2017,1,1,INE474E01029,1
BHARATCOAL,Bharat Coking Coal Limited,eq,no,19-01-2026,10,1,INE05XR01022,10
BHARATFORG,Bharat Forge Limited,eq,yes,04-04-2003,2,1,INE465A01025,2
BHARATGEAR,Bharat Gears Limited,eq,no,03-04-1996,10,1,INE561C01019,10
BHARATRAS,Bharat Rasayan Limited,eq,no,11-10-1995,5,1,INE838B01021,5
BHARATSE,Bharat Seats Limited,eq,no,24-03-2025,2,1,INE415D01024,2
BHARATWIRE,Bharat Wire Ropes Limited,eq,no,01-04-2016,10,1,INE316L01019,10
BHARTIARTL,Bharti Airtel Limited,eq,yes,15-02-2002,5,1,INE397D01024,5
BHARTIHEXA,Bharti Hexacom Limited,eq,no,12-04-2024,5,1,INE343G01021,5
BHEL,Bharat Heavy Electricals Limited,eq,yes,11-11-2003,2,1,INE257A01026,2
